impl,threads,mh_size,rep,criterio,tiempo
cpu,1,4,1,build_smh,0.0402043
cpu,1,4,1,smh_a,0.000128346
cpu,1,4,1,CB+smh_a,0.000123749
cpu,1,4,2,build_smh,0.0158209
cpu,1,4,2,smh_a,0.000103481
cpu,1,4,2,CB+smh_a,9.4317e-05
cpu,1,4,3,build_smh,0.0139499
cpu,1,4,3,smh_a,7.8874e-05
cpu,1,4,3,CB+smh_a,7.5464e-05
cpu,1,5,1,build_smh,0.0128911
cpu,1,5,1,smh_a,0.000392743
cpu,1,5,1,CB+smh_a,0.000378781
cpu,1,5,2,build_smh,0.0126816
cpu,1,5,2,smh_a,0.000372641
cpu,1,5,2,CB+smh_a,0.00037437
cpu,1,5,3,build_smh,0.0128614
cpu,1,5,3,smh_a,0.000484786
cpu,1,5,3,CB+smh_a,0.000370124
cpu,1,6,1,build_smh,0.0124621
cpu,1,6,1,smh_a,8.0352e-05
cpu,1,6,1,CB+smh_a,7.5238e-05
cpu,1,6,2,build_smh,0.0124473
cpu,1,6,2,smh_a,7.9944e-05
cpu,1,6,2,CB+smh_a,7.6642e-05
cpu,1,6,3,build_smh,0.0123827
cpu,1,6,3,smh_a,7.9616e-05
cpu,1,6,3,CB+smh_a,7.7063e-05
cpu,1,7,1,build_smh,0.01241
cpu,1,7,1,smh_a,0.000126925
cpu,1,7,1,CB+smh_a,0.000118346
cpu,1,7,2,build_smh,0.0126472
cpu,1,7,2,smh_a,0.000121102
cpu,1,7,2,CB+smh_a,0.000117962
cpu,1,7,3,build_smh,0.0123982
cpu,1,7,3,smh_a,0.000133028
cpu,1,7,3,CB+smh_a,0.000118043
cpu,1,8,1,build_smh,0.0126622
cpu,1,8,1,smh_a,7.8957e-05
cpu,1,8,1,CB+smh_a,8.1784e-05
cpu,1,8,2,build_smh,0.0123563
cpu,1,8,2,smh_a,7.7296e-05
cpu,1,8,2,CB+smh_a,7.4891e-05
cpu,1,8,3,build_smh,0.0130917
cpu,1,8,3,smh_a,7.9669e-05
cpu,1,8,3,CB+smh_a,7.5043e-05
cpu,1,9,1,build_smh,0.0124877
cpu,1,9,1,smh_a,7.7343e-05
cpu,1,9,1,CB+smh_a,7.5599e-05
cpu,1,9,2,build_smh,0.0124161
cpu,1,9,2,smh_a,7.7725e-05
cpu,1,9,2,CB+smh_a,7.5058e-05
cpu,1,9,3,build_smh,0.0126513
cpu,1,9,3,smh_a,0.000101052
cpu,1,9,3,CB+smh_a,7.5748e-05
cpu,1,10,1,build_smh,0.0123025
cpu,1,10,1,smh_a,7.7681e-05
cpu,1,10,1,CB+smh_a,7.5193e-05
cpu,1,10,2,build_smh,0.0125847
cpu,1,10,2,smh_a,7.8215e-05
cpu,1,10,2,CB+smh_a,7.5199e-05
cpu,1,10,3,build_smh,0.0124263
cpu,1,10,3,smh_a,7.8524e-05
cpu,1,10,3,CB+smh_a,7.5571e-05
cpu,2,4,1,build_smh,0.00584344
cpu,2,4,1,smh_a,6.0683e-05
cpu,2,4,1,CB+smh_a,4.3338e-05
cpu,2,4,2,build_smh,0.00631682
cpu,2,4,2,smh_a,4.6735e-05
cpu,2,4,2,CB+smh_a,4.2966e-05
cpu,2,4,3,build_smh,0.00579455
cpu,2,4,3,smh_a,4.6429e-05
cpu,2,4,3,CB+smh_a,4.3214e-05
cpu,2,5,1,build_smh,0.00570674
cpu,2,5,1,smh_a,0.000125378
cpu,2,5,1,CB+smh_a,0.000142107
cpu,2,5,2,build_smh,0.00592176
cpu,2,5,2,smh_a,0.000125514
cpu,2,5,2,CB+smh_a,0.000120991
cpu,2,5,3,build_smh,0.00570136
cpu,2,5,3,smh_a,0.00012041
cpu,2,5,3,CB+smh_a,0.000115651
cpu,2,6,1,build_smh,0.00559614
cpu,2,6,1,smh_a,4.6928e-05
cpu,2,6,1,CB+smh_a,4.3385e-05
cpu,2,6,2,build_smh,0.00598698
cpu,2,6,2,smh_a,4.9131e-05
cpu,2,6,2,CB+smh_a,5.2832e-05
cpu,2,6,3,build_smh,0.00561633
cpu,2,6,3,smh_a,4.8383e-05
cpu,2,6,3,CB+smh_a,4.409e-05
cpu,2,7,1,build_smh,0.00551518
cpu,2,7,1,smh_a,9.8937e-05
cpu,2,7,1,CB+smh_a,6.0953e-05
cpu,2,7,2,build_smh,0.00568179
cpu,2,7,2,smh_a,6.5581e-05
cpu,2,7,2,CB+smh_a,6.1483e-05
cpu,2,7,3,build_smh,0.00587978
cpu,2,7,3,smh_a,6.3357e-05
cpu,2,7,3,CB+smh_a,8.7535e-05
cpu,2,8,1,build_smh,0.00622561
cpu,2,8,1,smh_a,7.4237e-05
cpu,2,8,1,CB+smh_a,6.3989e-05
cpu,2,8,2,build_smh,0.00640949
cpu,2,8,2,smh_a,5.5409e-05
cpu,2,8,2,CB+smh_a,5.6552e-05
cpu,2,8,3,build_smh,0.00746079
cpu,2,8,3,smh_a,7.3438e-05
cpu,2,8,3,CB+smh_a,4.7592e-05
cpu,2,9,1,build_smh,0.00654666
cpu,2,9,1,smh_a,4.7101e-05
cpu,2,9,1,CB+smh_a,4.3634e-05
cpu,2,9,2,build_smh,0.00557759
cpu,2,9,2,smh_a,4.6147e-05
cpu,2,9,2,CB+smh_a,4.313e-05
cpu,2,9,3,build_smh,0.0058
cpu,2,9,3,smh_a,4.6955e-05
cpu,2,9,3,CB+smh_a,5.092e-05
cpu,2,10,1,build_smh,0.00549129
cpu,2,10,1,smh_a,6.2734e-05
cpu,2,10,1,CB+smh_a,5.3507e-05
cpu,2,10,2,build_smh,0.00549173
cpu,2,10,2,smh_a,4.763e-05
cpu,2,10,2,CB+smh_a,5.3843e-05
cpu,2,10,3,build_smh,0.00549022
cpu,2,10,3,smh_a,4.62e-05
cpu,2,10,3,CB+smh_a,4.3188e-05
cpu,4,4,1,build_smh,0.00471852
cpu,4,4,1,smh_a,3.7805e-05
cpu,4,4,1,CB+smh_a,3.404e-05
cpu,4,4,2,build_smh,0.00490609
cpu,4,4,2,smh_a,3.8833e-05
cpu,4,4,2,CB+smh_a,3.5405e-05
cpu,4,4,3,build_smh,0.00456623
cpu,4,4,3,smh_a,5.4132e-05
cpu,4,4,3,CB+smh_a,6.7691e-05
cpu,4,5,1,build_smh,0.00479209
cpu,4,5,1,smh_a,5.2589e-05
cpu,4,5,1,CB+smh_a,4.8693e-05
cpu,4,5,2,build_smh,0.0046511
cpu,4,5,2,smh_a,5.3253e-05
cpu,4,5,2,CB+smh_a,4.4708e-05
cpu,4,5,3,build_smh,0.00475207
cpu,4,5,3,smh_a,5.4246e-05
cpu,4,5,3,CB+smh_a,4.9322e-05
cpu,4,6,1,build_smh,0.00459872
cpu,4,6,1,smh_a,3.5676e-05
cpu,4,6,1,CB+smh_a,3.2893e-05
cpu,4,6,2,build_smh,0.00455044
cpu,4,6,2,smh_a,3.6772e-05
cpu,4,6,2,CB+smh_a,3.2501e-05
cpu,4,6,3,build_smh,0.00443667
cpu,4,6,3,smh_a,4.7947e-05
cpu,4,6,3,CB+smh_a,3.2115e-05
cpu,4,7,1,build_smh,0.00479366
cpu,4,7,1,smh_a,4.063e-05
cpu,4,7,1,CB+smh_a,3.5984e-05
cpu,4,7,2,build_smh,0.00458196
cpu,4,7,2,smh_a,3.7017e-05
cpu,4,7,2,CB+smh_a,3.2927e-05
cpu,4,7,3,build_smh,0.00431867
cpu,4,7,3,smh_a,4.7104e-05
cpu,4,7,3,CB+smh_a,4.432e-05
cpu,4,8,1,build_smh,0.00468018
cpu,4,8,1,smh_a,3.6391e-05
cpu,4,8,1,CB+smh_a,3.3325e-05
cpu,4,8,2,build_smh,0.00455198
cpu,4,8,2,smh_a,4.5858e-05
cpu,4,8,2,CB+smh_a,4.1533e-05
cpu,4,8,3,build_smh,0.00436218
cpu,4,8,3,smh_a,4.6887e-05
cpu,4,8,3,CB+smh_a,3.2113e-05
cpu,4,9,1,build_smh,0.00469799
cpu,4,9,1,smh_a,3.6476e-05
cpu,4,9,1,CB+smh_a,3.2787e-05
cpu,4,9,2,build_smh,0.00447439
cpu,4,9,2,smh_a,3.6231e-05
cpu,4,9,2,CB+smh_a,4.258e-05
cpu,4,9,3,build_smh,0.00465134
cpu,4,9,3,smh_a,3.6034e-05
cpu,4,9,3,CB+smh_a,3.3092e-05
cpu,4,10,1,build_smh,0.00455229
cpu,4,10,1,smh_a,3.5715e-05
cpu,4,10,1,CB+smh_a,3.2462e-05
cpu,4,10,2,build_smh,0.00450278
cpu,4,10,2,smh_a,3.6582e-05
cpu,4,10,2,CB+smh_a,3.3028e-05
cpu,4,10,3,build_smh,0.00466191
cpu,4,10,3,smh_a,7.1381e-05
cpu,4,10,3,CB+smh_a,3.5517e-05
cpu,8,4,1,build_smh,0.00584625
cpu,8,4,1,smh_a,0.00874983
cpu,8,4,1,CB+smh_a,0.00799434
cpu,8,4,2,build_smh,0.0121046
cpu,8,4,2,smh_a,0.00703065
cpu,8,4,2,CB+smh_a,0.0139856
cpu,8,4,3,build_smh,0.00538348
cpu,8,4,3,smh_a,4.3249e-05
cpu,8,4,3,CB+smh_a,3.9776e-05
cpu,8,5,1,build_smh,0.00520188
cpu,8,5,1,smh_a,4.6889e-05
cpu,8,5,1,CB+smh_a,4.6628e-05
cpu,8,5,2,build_smh,0.00496277
cpu,8,5,2,smh_a,0.00171907
cpu,8,5,2,CB+smh_a,0.00159786
cpu,8,5,3,build_smh,0.0120627
cpu,8,5,3,smh_a,0.00175384
cpu,8,5,3,CB+smh_a,0.000782934
cpu,8,6,1,build_smh,0.00897209
cpu,8,6,1,smh_a,0.0108936
cpu,8,6,1,CB+smh_a,0.00548926
cpu,8,6,2,build_smh,0.00481282
cpu,8,6,2,smh_a,4.6412e-05
cpu,8,6,2,CB+smh_a,4.0882e-05
cpu,8,6,3,build_smh,0.00491544
cpu,8,6,3,smh_a,4.3104e-05
cpu,8,6,3,CB+smh_a,4.6108e-05
cpu,8,7,1,build_smh,0.00829542
cpu,8,7,1,smh_a,0.00293114
cpu,8,7,1,CB+smh_a,0.00599396
cpu,8,7,2,build_smh,0.00476253
cpu,8,7,2,smh_a,0.000140416
cpu,8,7,2,CB+smh_a,4.3211e-05
cpu,8,7,3,build_smh,0.00513405
cpu,8,7,3,smh_a,0.00108557
cpu,8,7,3,CB+smh_a,0.00123751
cpu,8,8,1,build_smh,0.0090405
cpu,8,8,1,smh_a,0.0109123
cpu,8,8,1,CB+smh_a,0.00699756
cpu,8,8,2,build_smh,0.00502618
cpu,8,8,2,smh_a,4.372e-05
cpu,8,8,2,CB+smh_a,3.9441e-05
cpu,8,8,3,build_smh,0.00713995
cpu,8,8,3,smh_a,4.2769e-05
cpu,8,8,3,CB+smh_a,4.3e-05
cpu,8,9,1,build_smh,0.00641055
cpu,8,9,1,smh_a,4.7152e-05
cpu,8,9,1,CB+smh_a,4.3271e-05
cpu,8,9,2,build_smh,0.00759162
cpu,8,9,2,smh_a,4.7242e-05
cpu,8,9,2,CB+smh_a,4.2442e-05
cpu,8,9,3,build_smh,0.00689442
cpu,8,9,3,smh_a,0.00367446
cpu,8,9,3,CB+smh_a,0.00483449
cpu,8,10,1,build_smh,0.00482039
cpu,8,10,1,smh_a,4.7265e-05
cpu,8,10,1,CB+smh_a,3.8426e-05
cpu,8,10,2,build_smh,0.0071544
cpu,8,10,2,smh_a,0.00494883
cpu,8,10,2,CB+smh_a,0.00490167
cpu,8,10,3,build_smh,0.00499559
cpu,8,10,3,smh_a,5.0226e-05
cpu,8,10,3,CB+smh_a,3.9978e-05
gpu,1,4,1,build_smh,0.0127381
gpu,1,4,1,smh_a,8.0242e-05
gpu,1,4,1,CB+smh_a,7.8099e-05
gpu,1,4,2,build_smh,0.0126957
gpu,1,4,2,smh_a,8.0225e-05
gpu,1,4,2,CB+smh_a,7.7136e-05
gpu,1,4,3,build_smh,0.0126818
gpu,1,4,3,smh_a,8.0873e-05
gpu,1,4,3,CB+smh_a,7.7389e-05
gpu,1,5,1,build_smh,0.0126609
gpu,1,5,1,smh_a,0.000381226
gpu,1,5,1,CB+smh_a,0.000379004
gpu,1,5,2,build_smh,0.0129423
gpu,1,5,2,smh_a,0.000419519
gpu,1,5,2,CB+smh_a,0.000378075
gpu,1,5,3,build_smh,0.0131747
gpu,1,5,3,smh_a,0.000426859
gpu,1,5,3,CB+smh_a,0.000380256
gpu,1,6,1,build_smh,0.0126813
gpu,1,6,1,smh_a,8.0752e-05
gpu,1,6,1,CB+smh_a,0.000111879
gpu,1,6,2,build_smh,0.0131684
gpu,1,6,2,smh_a,7.9208e-05
gpu,1,6,2,CB+smh_a,9.6446e-05
gpu,1,6,3,build_smh,0.0151748
gpu,1,6,3,smh_a,8.1172e-05
gpu,1,6,3,CB+smh_a,7.5139e-05
gpu,1,7,1,build_smh,0.0140509
gpu,1,7,1,smh_a,0.000122984
gpu,1,7,1,CB+smh_a,0.000122919
gpu,1,7,2,build_smh,0.0133146
gpu,1,7,2,smh_a,0.000134973
gpu,1,7,2,CB+smh_a,0.000129348
gpu,1,7,3,build_smh,0.0128898
gpu,1,7,3,smh_a,0.000118368
gpu,1,7,3,CB+smh_a,0.000114953
gpu,1,8,1,build_smh,0.0125053
gpu,1,8,1,smh_a,7.9269e-05
gpu,1,8,1,CB+smh_a,7.747e-05
gpu,1,8,2,build_smh,0.0126606
gpu,1,8,2,smh_a,8.1696e-05
gpu,1,8,2,CB+smh_a,7.6764e-05
gpu,1,8,3,build_smh,0.0124382
gpu,1,8,3,smh_a,8.0915e-05
gpu,1,8,3,CB+smh_a,7.737e-05
gpu,1,9,1,build_smh,0.0129042
gpu,1,9,1,smh_a,0.000101462
gpu,1,9,1,CB+smh_a,8.8593e-05
gpu,1,9,2,build_smh,0.0129298
gpu,1,9,2,smh_a,9.0307e-05
gpu,1,9,2,CB+smh_a,0.000103533
gpu,1,9,3,build_smh,0.0130015
gpu,1,9,3,smh_a,8.9801e-05
gpu,1,9,3,CB+smh_a,7.5323e-05
gpu,1,10,1,build_smh,0.0135476
gpu,1,10,1,smh_a,7.975e-05
gpu,1,10,1,CB+smh_a,7.5658e-05
gpu,1,10,2,build_smh,0.0157364
gpu,1,10,2,smh_a,0.000161202
gpu,1,10,2,CB+smh_a,0.000145205
gpu,1,10,3,build_smh,0.0181072
gpu,1,10,3,smh_a,0.000216722
gpu,1,10,3,CB+smh_a,0.000115072
gpu,2,4,1,build_smh,0.00723762
gpu,2,4,1,smh_a,7.0308e-05
gpu,2,4,1,CB+smh_a,6.5453e-05
gpu,2,4,2,build_smh,0.00796264
gpu,2,4,2,smh_a,5.8686e-05
gpu,2,4,2,CB+smh_a,5.0293e-05
gpu,2,4,3,build_smh,0.00817856
gpu,2,4,3,smh_a,7.0028e-05
gpu,2,4,3,CB+smh_a,6.46e-05
gpu,2,5,1,build_smh,0.00768069
gpu,2,5,1,smh_a,0.000188965
gpu,2,5,1,CB+smh_a,0.000123192
gpu,2,5,2,build_smh,0.00770644
gpu,2,5,2,smh_a,0.000170824
gpu,2,5,2,CB+smh_a,0.000144795
gpu,2,5,3,build_smh,0.0070328
gpu,2,5,3,smh_a,0.000170893
gpu,2,5,3,CB+smh_a,0.000144082
gpu,2,6,1,build_smh,0.00618974
gpu,2,6,1,smh_a,5.1602e-05
gpu,2,6,1,CB+smh_a,4.6578e-05
gpu,2,6,2,build_smh,0.00633378
gpu,2,6,2,smh_a,5.4792e-05
gpu,2,6,2,CB+smh_a,4.7425e-05
gpu,2,6,3,build_smh,0.00662471
gpu,2,6,3,smh_a,5.211e-05
gpu,2,6,3,CB+smh_a,4.649e-05
gpu,2,7,1,build_smh,0.00705646
gpu,2,7,1,smh_a,7.2645e-05
gpu,2,7,1,CB+smh_a,7.5578e-05
gpu,2,7,2,build_smh,0.00722245
gpu,2,7,2,smh_a,7.0548e-05
gpu,2,7,2,CB+smh_a,7.5791e-05
gpu,2,7,3,build_smh,0.00716014
gpu,2,7,3,smh_a,8.375e-05
gpu,2,7,3,CB+smh_a,8.3156e-05
gpu,2,8,1,build_smh,0.00678009
gpu,2,8,1,smh_a,8.6229e-05
gpu,2,8,1,CB+smh_a,5.365e-05
gpu,2,8,2,build_smh,0.00659794
gpu,2,8,2,smh_a,5.1111e-05
gpu,2,8,2,CB+smh_a,4.66e-05
gpu,2,8,3,build_smh,0.00611473
gpu,2,8,3,smh_a,5.1814e-05
gpu,2,8,3,CB+smh_a,4.6794e-05
gpu,2,9,1,build_smh,0.00844937
gpu,2,9,1,smh_a,6.8048e-05
gpu,2,9,1,CB+smh_a,6.3752e-05
gpu,2,9,2,build_smh,0.00617134
gpu,2,9,2,smh_a,5.1453e-05
gpu,2,9,2,CB+smh_a,4.7068e-05
gpu,2,9,3,build_smh,0.00583358
gpu,2,9,3,smh_a,5.8144e-05
gpu,2,9,3,CB+smh_a,4.6534e-05
gpu,2,10,1,build_smh,0.00586582
gpu,2,10,1,smh_a,5.1069e-05
gpu,2,10,1,CB+smh_a,4.7148e-05
gpu,2,10,2,build_smh,0.00606027
gpu,2,10,2,smh_a,5.7662e-05
gpu,2,10,2,CB+smh_a,4.6727e-05
gpu,2,10,3,build_smh,0.00613225
gpu,2,10,3,smh_a,5.0701e-05
gpu,2,10,3,CB+smh_a,4.6972e-05
gpu,4,4,1,build_smh,0.0050191
gpu,4,4,1,smh_a,3.7721e-05
gpu,4,4,1,CB+smh_a,3.452e-05
gpu,4,4,2,build_smh,0.0047108
gpu,4,4,2,smh_a,4.7942e-05
gpu,4,4,2,CB+smh_a,3.5234e-05
gpu,4,4,3,build_smh,0.00538847
gpu,4,4,3,smh_a,4.9643e-05
gpu,4,4,3,CB+smh_a,3.417e-05
gpu,4,5,1,build_smh,0.00480905
gpu,4,5,1,smh_a,5.9765e-05
gpu,4,5,1,CB+smh_a,5.535e-05
gpu,4,5,2,build_smh,0.00499535
gpu,4,5,2,smh_a,6.1625e-05
gpu,4,5,2,CB+smh_a,6.3021e-05
